Victim_ID,Split
V0718,train
V0719,train
V0720,test
V0721,validation
V0722,train
V0723,train
V0724,train
V0725,test
V0726,validation
V0727,test
V0728,validation
V0729,train
V0730,test
V0731,train
V0732,train
V0733,train
V0734,validation
V0735,train
V0736,validation
V0737,train
V0738,train
V0739,validation
V0740,validation
V0741,train
V0742,train
V0743,validation
V0744,train
V0745,validation
V0746,train
V0747,train
V0748,test
V0749,test
V0750,train
V0751,train
V0752,train
V0753,validation
V0754,train
V0755,train
V0756,train
V0757,train
V0758,train
V0759,train
V0760,train
V0761,validation
V0762,train
V0763,train
V0764,test
V0765,train
V0766,validation
V0767,validation
V0768,train
V0769,validation
V0770,test
V0771,validation
V0772,test
V0773,test
V0774,train
V0775,train
V0776,test
V0777,test
V0778,train
V0779,train
V0780,test
V0781,train
V0782,train
V0783,test
V0784,train
V0785,validation
V0786,validation
V0787,train
V0788,train
V0789,validation
V0790,train
V0791,train
V0792,test
V0793,train
V0794,train
V0795,validation
V0796,validation
V0797,train
V0798,train
V0799,train
V0800,train
V0801,train
V0802,train
V0803,train
V0804,validation
V0805,validation
V0806,test
V0807,validation
V0808,train
V0809,train
V0810,train
V0811,train
V0812,train
V0813,test
V0814,train
V0815,validation
V0816,test
V0817,train
V0818,train
V0819,test
V0820,validation
V0821,train
V0822,test
V0823,train
V0824,train
V0825,train
V0826,train
V0827,train
V0828,train
V0829,train
V0830,train
V0831,train
V0832,test
V0833,train
V0834,train
V0835,train
V0836,validation
V0837,train
V0838,train
V0839,test
V0840,test
V0841,test
V0842,train
V0843,validation
V0844,train
V0845,train
V0846,train
V0847,validation
V0848,validation
V0849,validation
V0850,train
V0851,train
V0852,train
V0853,train
V0854,validation
V0855,train
V0856,validation
V0857,test
V0858,validation
V0859,train
V0860,train
V0861,test
V0862,train
V0863,test
V0864,train
V0865,train
V0866,train
V0867,train
V0868,train
V0869,train
V0870,validation
V0871,train
V0872,test
V0873,train
V0874,train
V0875,validation
V0876,test
V0877,train
V0878,train
V0879,test
V0880,train
V0881,test
V0882,train
V0883,train
V0884,train
V0885,train
V0886,train
V0887,validation
V0888,validation
V0889,validation
V0890,validation
V0891,validation
V0892,train
V0893,train
V0894,train
V0895,train
V0896,train
V0897,train
V0898,test
V0899,validation
V0900,train
V0901,train
V0902,train
V0903,train
V0904,train
V0905,train
V0906,validation
V0907,validation
V0908,train
V0909,train
V0910,train
V0911,train
V0912,train
V0913,train
V0914,validation
V0915,train
V0916,validation
V0917,train
V0918,train
V0919,train
V0920,validation
V0921,train
V0922,train
V0923,train
V0924,train
V0925,train
V0926,train
V0927,train
V0928,train
V0929,validation
V0930,validation
V0931,train
V0932,validation
V0933,validation
V0934,train
V0935,train
V0936,train
V0937,train
V0938,test
V0939,train
V0940,train
V0941,train
V0942,train
V0943,train
V0944,train
V0945,validation
V0946,train
V0947,train
V0948,train
V0949,train
V0950,train
V0951,train
V0952,train
V0953,train
V0954,validation
V0955,train
V0956,test
V0957,train
V0958,validation
V0959,validation
V0960,train
V0961,train
V0962,train
V0963,test
V0964,train
V0965,train
V0966,train
V0967,train
V0968,train
V0969,train
V0970,train
V0971,train
V0972,train
V0973,validation
V0974,train
V0975,train
V0976,train
V0977,test
V0978,train
V0979,train
V0980,train
V0981,test
V0982,validation
V0983,test
V0984,train
V0985,train
V0986,train
V0987,train
V0988,validation
V0989,train
V0990,train
V0991,train
V0992,train
V0993,test
V0994,train
V0995,train
V0996,train
V0997,test
V0998,train
V0999,train
V1000,train
