Victim_ID,Event_Timepoint,T_minus,behaviour_risk,Engagement_Deviation,Missed_Checkin
V0004,17,3,0.20090000000000002,0.003,0
V0004,17,2,0.09530000000000002,-0.349,0
V0004,17,1,0.03470000000000001,-0.551,0
V0004,17,0,0.07970000000000001,-0.401,0
V0004,19,7,0.1316,-0.228,0
V0004,19,6,0.203,0.01,0
V0004,19,5,0.20090000000000002,0.003,0
V0004,19,4,0.09530000000000002,-0.349,0
V0004,19,3,0.03470000000000001,-0.551,0
V0004,19,2,0.07970000000000001,-0.401,0
V0004,19,1,0.08810000000000001,-0.373,0
V0004,19,0,0.134,-0.22,0
V0005,11,7,0.07040000000000002,-0.432,0
V0005,11,6,0.13670000000000002,-0.211,0
V0005,11,5,0.065,-0.45,0
V0005,11,4,0.026000000000000023,-0.58,0
V0005,11,3,0.02300000000000002,-0.59,0
V0005,11,2,0.07760000000000003,-0.408,0
V0005,11,1,0.09380000000000002,-0.354,0
V0005,11,0,0.06140000000000001,-0.462,0
V0005,13,7,0.065,-0.45,0
V0005,13,6,0.026000000000000023,-0.58,0
V0005,13,5,0.02300000000000002,-0.59,0
V0005,13,4,0.07760000000000003,-0.408,0
V0005,13,3,0.09380000000000002,-0.354,0
V0005,13,2,0.06140000000000001,-0.462,0
V0005,13,1,0.05750000000000002,-0.475,0
V0005,13,0,0.02300000000000002,-0.59,0
V0005,15,7,0.02300000000000002,-0.59,0
V0005,15,6,0.07760000000000003,-0.408,0
V0005,15,5,0.09380000000000002,-0.354,0
V0005,15,4,0.06140000000000001,-0.462,0
V0005,15,3,0.05750000000000002,-0.475,0
V0005,15,2,0.02300000000000002,-0.59,0
V0005,15,1,0.0,-0.75,0
V0005,15,0,0.0,-0.833,0
V0005,16,7,0.07760000000000003,-0.408,0
V0005,16,6,0.09380000000000002,-0.354,0
V0005,16,5,0.06140000000000001,-0.462,0
V0005,16,4,0.05750000000000002,-0.475,0
V0005,16,3,0.02300000000000002,-0.59,0
V0005,16,2,0.0,-0.75,0
V0005,16,1,0.0,-0.833,0
V0005,16,0,0.036500000000000005,-0.545,0
V0005,17,7,0.09380000000000002,-0.354,0
V0005,17,6,0.06140000000000001,-0.462,0
V0005,17,5,0.05750000000000002,-0.475,0
V0005,17,4,0.02300000000000002,-0.59,0
V0005,17,3,0.0,-0.75,0
V0005,17,2,0.0,-0.833,0
V0005,17,1,0.036500000000000005,-0.545,0
V0005,17,0,0.0,-0.698,0
V0005,18,7,0.06140000000000001,-0.462,0
V0005,18,6,0.05750000000000002,-0.475,0
V0005,18,5,0.02300000000000002,-0.59,0
V0005,18,4,0.0,-0.75,0
V0005,18,3,0.0,-0.833,0
V0005,18,2,0.036500000000000005,-0.545,0
V0005,18,1,0.0,-0.698,0
V0005,18,0,0.0,-0.751,0
V0005,19,7,0.05750000000000002,-0.475,0
V0005,19,6,0.02300000000000002,-0.59,0
V0005,19,5,0.0,-0.75,0
V0005,19,4,0.0,-0.833,0
V0005,19,3,0.036500000000000005,-0.545,0
V0005,19,2,0.0,-0.698,0
V0005,19,1,0.0,-0.751,0
V0005,19,0,0.016400000000000026,-0.612,0
V0005,20,7,0.02300000000000002,-0.59,0
V0005,20,6,0.0,-0.75,0
V0005,20,5,0.0,-0.833,0
V0005,20,4,0.036500000000000005,-0.545,0
V0005,20,3,0.0,-0.698,0
V0005,20,2,0.0,-0.751,0
V0005,20,1,0.016400000000000026,-0.612,0
V0005,20,0,0.3275,-0.575,1
V0005,21,7,0.0,-0.75,0
V0005,21,6,0.0,-0.833,0
V0005,21,5,0.036500000000000005,-0.545,0
V0005,21,4,0.0,-0.698,0
V0005,21,3,0.0,-0.751,0
V0005,21,2,0.016400000000000026,-0.612,0
V0005,21,1,0.3275,-0.575,1
V0005,21,0,0.0,-0.797,0
V0005,22,7,0.0,-0.833,0
V0005,22,6,0.036500000000000005,-0.545,0
V0005,22,5,0.0,-0.698,0
V0005,22,4,0.0,-0.751,0
V0005,22,3,0.016400000000000026,-0.612,0
V0005,22,2,0.3275,-0.575,1
V0005,22,1,0.0,-0.797,0
V0005,22,0,0.0,-0.852,0
V0005,23,7,0.036500000000000005,-0.545,0
V0005,23,6,0.0,-0.698,0
V0005,23,5,0.0,-0.751,0
V0005,23,4,0.016400000000000026,-0.612,0
V0005,23,3,0.3275,-0.575,1
V0005,23,2,0.0,-0.797,0
V0005,23,1,0.0,-0.852,0
V0005,23,0,0.0,-0.722,0
V0007,20,7,0.1658,-0.114,0
V0007,20,6,0.1004,-0.332,0
V0007,20,5,0.1703,-0.099,0
V0007,20,4,0.1655,-0.115,0
V0007,20,3,0.101,-0.33,0
V0007,20,2,0.1817,-0.061,0
V0007,20,1,0.1688,-0.104,0
V0007,20,0,0.13940000000000002,-0.202,0
V0009,10,7,0.19490000000000002,-0.017,0
V0009,10,6,0.22790000000000002,0.093,0
V0009,10,5,0.2339,0.113,0
V0009,10,4,0.164,-0.12,0
V0009,10,3,0.2111,0.037,0
V0009,10,2,0.21710000000000002,0.057,0
V0009,10,1,0.13970000000000002,-0.201,0
V0009,10,0,0.2078,0.026,0
V0015,11,7,0.19160000000000002,-0.028,0
V0015,11,6,0.218,0.06,0
V0015,11,5,0.17720000000000002,-0.076,0
V0015,11,4,0.22790000000000002,0.093,0
V0015,11,3,0.2324,0.108,0
V0015,11,2,0.22910000000000003,0.097,0
V0015,11,1,0.2162,0.054,0
V0015,11,0,0.1685,-0.105,0
V0017,6,5,0.13520000000000001,-0.216,0
V0017,6,4,0.45799999999999996,-0.14,1
V0017,6,3,0.167,-0.11,0
V0017,6,2,0.1544,-0.152,0
V0017,6,1,0.15710000000000002,-0.143,0
V0017,6,0,0.4433,-0.189,1
V0018,5,4,0.07340000000000002,-0.422,0
V0018,5,3,0.06830000000000003,-0.439,0
V0018,5,2,0.029900000000000038,-0.567,0
V0018,5,1,0.10070000000000001,-0.331,0
V0018,5,0,0.03770000000000001,-0.541,0
V0018,19,7,0.0,-0.713,0
V0018,19,6,0.27080000000000004,-0.764,1
V0018,19,5,0.029600000000000043,-0.568,0
V0018,19,4,0.05990000000000001,-0.467,0
V0018,19,3,0.128,-0.24,0
V0018,19,2,0.0,-0.72,0
V0018,19,1,0.00020000000000000573,-0.666,0
V0018,19,0,0.0,-0.691,0
V0019,17,7,0.19130000000000003,-0.029,0
V0019,17,6,0.1499,-0.167,0
V0019,17,5,0.1817,-0.061,0
V0019,17,4,0.2369,0.123,0
V0019,17,3,0.1706,-0.098,0
V0019,17,2,0.1784,-0.072,0
V0019,17,1,0.1613,-0.129,0
V0019,17,0,0.13490000000000002,-0.217,0
V0019,20,7,0.2369,0.123,0
V0019,20,6,0.1706,-0.098,0
V0019,20,5,0.1784,-0.072,0
V0019,20,4,0.1613,-0.129,0
V0019,20,3,0.13490000000000002,-0.217,0
V0019,20,2,0.17120000000000002,-0.096,0
V0019,20,1,0.1451,-0.183,0
V0019,20,0,0.1685,-0.105,0
V0019,23,7,0.1613,-0.129,0
V0019,23,6,0.13490000000000002,-0.217,0
V0019,23,5,0.17120000000000002,-0.096,0
V0019,23,4,0.1451,-0.183,0
V0019,23,3,0.1685,-0.105,0
V0019,23,2,0.2,0.0,0
V0019,23,1,0.11210000000000002,-0.293,0
V0019,23,0,0.14,-0.2,0
V0021,10,7,0.2066,0.022,0
V0021,10,6,0.1418,-0.194,0
V0021,10,5,0.17870000000000003,-0.071,0
V0021,10,4,0.13670000000000002,-0.211,0
V0021,10,3,0.098,-0.34,0
V0021,10,2,0.04340000000000002,-0.522,0
V0021,10,1,0.4268,-0.244,1
V0021,10,0,0.11120000000000002,-0.296,0
V0021,12,7,0.17870000000000003,-0.071,0
V0021,12,6,0.13670000000000002,-0.211,0
V0021,12,5,0.098,-0.34,0
V0021,12,4,0.04340000000000002,-0.522,0
V0021,12,3,0.4268,-0.244,1
V0021,12,2,0.11120000000000002,-0.296,0
V0021,12,1,0.09200000000000001,-0.36,0
V0021,12,0,0.11120000000000002,-0.296,0
V0021,13,7,0.13670000000000002,-0.211,0
V0021,13,6,0.098,-0.34,0
V0021,13,5,0.04340000000000002,-0.522,0
V0021,13,4,0.4268,-0.244,1
V0021,13,3,0.11120000000000002,-0.296,0
V0021,13,2,0.09200000000000001,-0.36,0
V0021,13,1,0.11120000000000002,-0.296,0
V0021,13,0,0.09260000000000002,-0.358,0
V0021,21,7,0.4106,-0.298,1
V0021,21,6,0.10250000000000001,-0.325,0
V0021,21,5,0.05720000000000003,-0.476,0
V0021,21,4,0.01610000000000003,-0.613,0
V0021,21,3,0.060200000000000004,-0.466,0
V0021,21,2,0.03320000000000001,-0.556,0
V0021,21,1,0.04370000000000002,-0.521,0
V0021,21,0,0.0383,-0.539,0
V0021,22,7,0.10250000000000001,-0.325,0
V0021,22,6,0.05720000000000003,-0.476,0
V0021,22,5,0.01610000000000003,-0.613,0
V0021,22,4,0.060200000000000004,-0.466,0
V0021,22,3,0.03320000000000001,-0.556,0
V0021,22,2,0.04370000000000002,-0.521,0
V0021,22,1,0.0383,-0.539,0
V0021,22,0,0.0461,-0.513,0
V0023,18,7,0.09680000000000002,-0.344,0
V0023,18,6,0.05030000000000001,-0.499,0
V0023,18,5,0.06410000000000002,-0.453,0
V0023,18,4,0.09680000000000002,-0.344,0
V0023,18,3,0.08240000000000001,-0.392,0
V0023,18,2,0.06380000000000002,-0.454,0
V0023,18,1,0.08750000000000002,-0.375,0
V0023,18,0,0.09680000000000002,-0.344,0
V0024,15,7,0.1361,-0.213,0
V0024,15,6,0.05990000000000001,-0.467,0
V0024,15,5,0.05090000000000003,-0.497,0
V0024,15,4,0.038000000000000006,-0.54,0
V0024,15,3,0.04880000000000001,-0.504,0
V0024,15,2,0.060200000000000004,-0.466,0
V0024,15,1,0.07700000000000003,-0.41,0
V0024,15,0,0.060200000000000004,-0.466,0
V0024,19,7,0.04880000000000001,-0.504,0
V0024,19,6,0.060200000000000004,-0.466,0
V0024,19,5,0.07700000000000003,-0.41,0
V0024,19,4,0.060200000000000004,-0.466,0
V0024,19,3,0.11210000000000002,-0.293,0
V0024,19,2,0.3533,-0.489,1
V0024,19,1,0.04340000000000002,-0.522,0
V0024,19,0,0.058400000000000035,-0.472,0
V0024,20,7,0.060200000000000004,-0.466,0
V0024,20,6,0.07700000000000003,-0.41,0
V0024,20,5,0.060200000000000004,-0.466,0
V0024,20,4,0.11210000000000002,-0.293,0
V0024,20,3,0.3533,-0.489,1
V0024,20,2,0.04340000000000002,-0.522,0
V0024,20,1,0.058400000000000035,-0.472,0
V0024,20,0,0.03950000000000001,-0.535,0
V0024,23,7,0.11210000000000002,-0.293,0
V0024,23,6,0.3533,-0.489,1
V0024,23,5,0.04340000000000002,-0.522,0
V0024,23,4,0.058400000000000035,-0.472,0
V0024,23,3,0.03950000000000001,-0.535,0
V0024,23,2,0.0635,-0.455,0
V0024,23,1,0.038000000000000006,-0.54,0
V0024,23,0,0.33199999999999996,-0.56,1
V0025,7,6,0.22490000000000002,0.083,0
V0025,7,5,0.233,0.11,0
V0025,7,4,0.2315,0.105,0
V0025,7,3,0.1865,-0.045,0
V0025,7,2,0.1481,-0.173,0
V0025,7,1,0.20450000000000002,0.015,0
V0025,7,0,0.1748,-0.084,0
V0025,14,7,0.1748,-0.084,0
V0025,14,6,0.46399999999999997,-0.12,1
V0025,14,5,0.1811,-0.063,0
V0025,14,4,0.404,-0.32,1
V0025,14,3,0.1322,-0.226,0
V0025,14,2,0.1814,-0.062,0
V0025,14,1,0.13130000000000003,-0.229,0
V0025,14,0,0.1958,-0.014,0
V0025,18,7,0.1322,-0.226,0
V0025,18,6,0.1814,-0.062,0
V0025,18,5,0.13130000000000003,-0.229,0
V0025,18,4,0.1958,-0.014,0
V0025,18,3,0.12620000000000003,-0.246,0
V0025,18,2,0.1628,-0.124,0
V0025,18,1,0.11240000000000001,-0.292,0
V0025,18,0,0.16460000000000002,-0.118,0
V0025,19,7,0.1814,-0.062,0
V0025,19,6,0.13130000000000003,-0.229,0
V0025,19,5,0.1958,-0.014,0
V0025,19,4,0.12620000000000003,-0.246,0
V0025,19,3,0.1628,-0.124,0
V0025,19,2,0.11240000000000001,-0.292,0
V0025,19,1,0.16460000000000002,-0.118,0
V0025,19,0,0.09260000000000002,-0.358,0
V0025,21,7,0.1958,-0.014,0
V0025,21,6,0.12620000000000003,-0.246,0
V0025,21,5,0.1628,-0.124,0
V0025,21,4,0.11240000000000001,-0.292,0
V0025,21,3,0.16460000000000002,-0.118,0
V0025,21,2,0.09260000000000002,-0.358,0
V0025,21,1,0.125,-0.25,0
V0025,21,0,0.09530000000000002,-0.349,0
V0025,22,7,0.12620000000000003,-0.246,0
V0025,22,6,0.1628,-0.124,0
V0025,22,5,0.11240000000000001,-0.292,0
V0025,22,4,0.16460000000000002,-0.118,0
V0025,22,3,0.09260000000000002,-0.358,0
V0025,22,2,0.125,-0.25,0
V0025,22,1,0.09530000000000002,-0.349,0
V0025,22,0,0.10520000000000002,-0.316,0
V0027,17,7,0.1463,-0.179,0
V0027,17,6,0.167,-0.11,0
V0027,17,5,0.1958,-0.014,0
V0027,17,4,0.10460000000000001,-0.318,0
V0027,17,3,0.1592,-0.136,0
V0027,17,2,0.1709,-0.097,0
V0027,17,1,0.09650000000000002,-0.345,0
V0027,17,0,0.09980000000000001,-0.334,0
V0027,21,7,0.1592,-0.136,0
V0027,21,6,0.1709,-0.097,0
V0027,21,5,0.09650000000000002,-0.345,0
V0027,21,4,0.09980000000000001,-0.334,0
V0027,21,3,0.11060000000000002,-0.298,0
V0027,21,2,0.022100000000000036,-0.593,0
V0027,21,1,0.029900000000000038,-0.567,0
V0027,21,0,0.10400000000000001,-0.32,0
V0027,23,7,0.09650000000000002,-0.345,0
V0027,23,6,0.09980000000000001,-0.334,0
V0027,23,5,0.11060000000000002,-0.298,0
V0027,23,4,0.022100000000000036,-0.593,0
V0027,23,3,0.029900000000000038,-0.567,0
V0027,23,2,0.10400000000000001,-0.32,0
V0027,23,1,0.027500000000000024,-0.575,0
V0027,23,0,0.03920000000000001,-0.536,0
V0028,17,7,0.21530000000000002,0.051,0
V0028,17,6,0.07160000000000002,-0.428,0
V0028,17,5,0.1448,-0.184,0
V0028,17,4,0.4406,-0.198,1
V0028,17,3,0.1184,-0.272,0
V0028,17,2,0.17300000000000001,-0.09,0
V0028,17,1,0.20120000000000002,0.004,0
V0028,17,0,0.1967,-0.011,0
V0029,8,7,0.11240000000000001,-0.292,0
V0029,8,6,0.13790000000000002,-0.207,0
V0029,8,5,0.10700000000000001,-0.31,0
V0029,8,4,0.10370000000000001,-0.321,0
V0029,8,3,0.08570000000000001,-0.381,0
V0029,8,2,0.10790000000000001,-0.307,0
V0029,8,1,0.09350000000000001,-0.355,0
V0029,8,0,0.11090000000000001,-0.297,0
V0030,8,7,0.1925,-0.025,0
V0030,8,6,0.1643,-0.119,0
V0030,8,5,0.1685,-0.105,0
V0030,8,4,0.1466,-0.178,0
V0030,8,3,0.16010000000000002,-0.133,0
V0030,8,2,0.45230000000000004,-0.159,1
V0030,8,1,0.1811,-0.063,0
V0030,8,0,0.08630000000000002,-0.379,0
V0030,10,7,0.1685,-0.105,0
V0030,10,6,0.1466,-0.178,0
V0030,10,5,0.16010000000000002,-0.133,0
V0030,10,4,0.45230000000000004,-0.159,1
V0030,10,3,0.1811,-0.063,0
V0030,10,2,0.08630000000000002,-0.379,0
V0030,10,1,0.12350000000000001,-0.255,0
V0030,10,0,0.1625,-0.125,0
V0030,12,7,0.16010000000000002,-0.133,0
V0030,12,6,0.45230000000000004,-0.159,1
V0030,12,5,0.1811,-0.063,0
V0030,12,4,0.08630000000000002,-0.379,0
V0030,12,3,0.12350000000000001,-0.255,0
V0030,12,2,0.1625,-0.125,0
V0030,12,1,0.09290000000000002,-0.357,0
V0030,12,0,0.10490000000000001,-0.317,0
V0030,14,7,0.1811,-0.063,0
V0030,14,6,0.08630000000000002,-0.379,0
V0030,14,5,0.12350000000000001,-0.255,0
V0030,14,4,0.1625,-0.125,0
V0030,14,3,0.09290000000000002,-0.357,0
V0030,14,2,0.10490000000000001,-0.317,0
V0030,14,1,0.05240000000000003,-0.492,0
V0030,14,0,0.11150000000000002,-0.295,0
V0030,15,7,0.08630000000000002,-0.379,0
V0030,15,6,0.12350000000000001,-0.255,0
V0030,15,5,0.1625,-0.125,0
V0030,15,4,0.09290000000000002,-0.357,0
V0030,15,3,0.10490000000000001,-0.317,0
V0030,15,2,0.05240000000000003,-0.492,0
V0030,15,1,0.11150000000000002,-0.295,0
V0030,15,0,0.0971,-0.343,0
V0030,17,7,0.1625,-0.125,0
V0030,17,6,0.09290000000000002,-0.357,0
V0030,17,5,0.10490000000000001,-0.317,0
V0030,17,4,0.05240000000000003,-0.492,0
V0030,17,3,0.11150000000000002,-0.295,0
V0030,17,2,0.0971,-0.343,0
V0030,17,1,0.02870000000000003,-0.571,0
V0030,17,0,0.08270000000000001,-0.391,0
V0030,21,7,0.11150000000000002,-0.295,0
V0030,21,6,0.0971,-0.343,0
V0030,21,5,0.02870000000000003,-0.571,0
V0030,21,4,0.08270000000000001,-0.391,0
V0030,21,3,0.06680000000000003,-0.444,0
V0030,21,2,0.02930000000000002,-0.569,0
V0030,21,1,0.06740000000000002,-0.442,0
V0030,21,0,0.07790000000000002,-0.407,0
V0031,23,7,0.4793,-0.069,1
V0031,23,6,0.2708,0.236,0
V0031,23,5,0.1943,-0.019,0
V0031,23,4,0.21080000000000002,0.036,0
V0031,23,3,0.1736,-0.088,0
V0031,23,2,0.1907,-0.031,0
V0031,23,1,0.2222,0.074,0
V0031,23,0,0.13820000000000002,-0.206,0
V0034,11,7,0.2606,0.202,0
V0034,11,6,0.1895,-0.035,0
V0034,11,5,0.2768,0.256,0
V0034,11,4,0.24710000000000001,0.157,0
V0034,11,3,0.2501,0.167,0
V0034,11,2,0.19340000000000002,-0.022,0
V0034,11,1,0.2306,0.102,0
V0034,11,0,0.22640000000000002,0.088,0
V0034,13,7,0.2768,0.256,0
V0034,13,6,0.24710000000000001,0.157,0
V0034,13,5,0.2501,0.167,0
V0034,13,4,0.19340000000000002,-0.022,0
V0034,13,3,0.2306,0.102,0
V0034,13,2,0.22640000000000002,0.088,0
V0034,13,1,0.2585,0.195,0
V0034,13,0,0.1715,-0.095,0
V0034,16,7,0.19340000000000002,-0.022,0
V0034,16,6,0.2306,0.102,0
V0034,16,5,0.22640000000000002,0.088,0
V0034,16,4,0.2585,0.195,0
V0034,16,3,0.1715,-0.095,0
V0034,16,2,0.20900000000000002,0.03,0
V0034,16,1,0.2021,0.007,0
V0034,16,0,0.1628,-0.124,0
V0034,17,7,0.2306,0.102,0
V0034,17,6,0.22640000000000002,0.088,0
V0034,17,5,0.2585,0.195,0
V0034,17,4,0.1715,-0.095,0
V0034,17,3,0.20900000000000002,0.03,0
V0034,17,2,0.2021,0.007,0
V0034,17,1,0.1628,-0.124,0
V0034,17,0,0.1778,-0.074,0
V0034,21,7,0.20900000000000002,0.03,0
V0034,21,6,0.2021,0.007,0
V0034,21,5,0.1628,-0.124,0
V0034,21,4,0.1778,-0.074,0
V0034,21,3,0.1502,-0.166,0
V0034,21,2,0.16610000000000003,-0.113,0
V0034,21,1,0.1865,-0.045,0
V0034,21,0,0.49160000000000004,-0.028,1
V0034,22,7,0.2021,0.007,0
V0034,22,6,0.1628,-0.124,0
V0034,22,5,0.1778,-0.074,0
V0034,22,4,0.1502,-0.166,0
V0034,22,3,0.16610000000000003,-0.113,0
V0034,22,2,0.1865,-0.045,0
V0034,22,1,0.49160000000000004,-0.028,1
V0034,22,0,0.13640000000000002,-0.212,0
V0035,2,1,0.1652,-0.116,0
V0035,2,0,0.5321,0.107,1
V0036,4,3,0.14720000000000003,-0.176,0
V0036,4,2,0.13670000000000002,-0.211,0
V0036,4,1,0.12890000000000001,-0.237,0
V0036,4,0,0.09200000000000001,-0.36,0
V0036,5,4,0.14720000000000003,-0.176,0
V0036,5,3,0.13670000000000002,-0.211,0
V0036,5,2,0.12890000000000001,-0.237,0
V0036,5,1,0.09200000000000001,-0.36,0
V0036,5,0,0.06890000000000002,-0.437,0
V0036,13,7,0.04940000000000003,-0.502,0
V0036,13,6,0.09320000000000002,-0.356,0
V0036,13,5,0.06380000000000002,-0.454,0
V0036,13,4,0.11240000000000001,-0.292,0
V0036,13,3,0.002600000000000019,-0.658,0
V0036,13,2,0.0368,-0.544,0
V0036,13,1,0.013100000000000028,-0.623,0
V0036,13,0,0.0,-0.672,0
V0039,14,7,0.10070000000000001,-0.331,0
V0039,14,6,0.11870000000000001,-0.271,0
V0039,14,5,0.07670000000000002,-0.411,0
V0039,14,4,0.07880000000000001,-0.404,0
V0039,14,3,0.056900000000000034,-0.477,0
V0039,14,2,0.09440000000000003,-0.352,0
V0039,14,1,0.04040000000000002,-0.532,0
V0039,14,0,0.08960000000000001,-0.368,0
V0039,17,7,0.07880000000000001,-0.404,0
V0039,17,6,0.056900000000000034,-0.477,0
V0039,17,5,0.09440000000000003,-0.352,0
V0039,17,4,0.04040000000000002,-0.532,0
V0039,17,3,0.08960000000000001,-0.368,0
V0039,17,2,0.08480000000000001,-0.384,0
V0039,17,1,0.05090000000000003,-0.497,0
V0039,17,0,0.11720000000000001,-0.276,0
V0039,23,7,0.05090000000000003,-0.497,0
V0039,23,6,0.11720000000000001,-0.276,0
V0039,23,5,0.07760000000000003,-0.408,0
V0039,23,4,0.07970000000000001,-0.401,0
V0039,23,3,0.015200000000000019,-0.616,0
V0039,23,2,0.068,-0.44,0
V0039,23,1,0.06680000000000003,-0.444,0
V0039,23,0,0.15530000000000002,-0.149,0
V0042,14,7,0.1598,-0.134,0
V0042,14,6,0.14570000000000002,-0.181,0
V0042,14,5,0.1925,-0.025,0
V0042,14,4,0.09470000000000002,-0.351,0
V0042,14,3,0.1223,-0.259,0
V0042,14,2,0.12110000000000001,-0.263,0
V0042,14,1,0.1688,-0.104,0
V0042,14,0,0.12530000000000002,-0.249,0
V0042,22,7,0.11510000000000002,-0.283,0
V0042,22,6,0.026000000000000023,-0.58,0
V0042,22,5,0.10460000000000001,-0.318,0
V0042,22,4,0.10760000000000002,-0.308,0
V0042,22,3,0.1169,-0.277,0
V0042,22,2,0.098,-0.34,0
V0042,22,1,0.0989,-0.337,0
V0042,22,0,0.07850000000000001,-0.405,0
V0043,15,7,0.5438000000000001,0.146,1
V0043,15,6,0.1703,-0.099,0
V0043,15,5,0.2117,0.039,0
V0043,15,4,0.1796,-0.068,0
V0043,15,3,0.1598,-0.134,0
V0043,15,2,0.18530000000000002,-0.049,0
V0043,15,1,0.1907,-0.031,0
V0043,15,0,0.22640000000000002,0.088,0
V0043,18,7,0.1796,-0.068,0
V0043,18,6,0.1598,-0.134,0
V0043,18,5,0.18530000000000002,-0.049,0
V0043,18,4,0.1907,-0.031,0
V0043,18,3,0.22640000000000002,0.088,0
V0043,18,2,0.14840000000000003,-0.172,0
V0043,18,1,0.2066,0.022,0
V0043,18,0,0.08180000000000001,-0.394,0
V0047,11,7,0.2465,0.155,0
V0047,11,6,0.2354,0.118,0
V0047,11,5,0.2366,0.122,0
V0047,11,4,0.1799,-0.067,0
V0047,11,3,0.2525,0.175,0
V0047,11,2,0.2162,0.054,0
V0047,11,1,0.164,-0.12,0
V0047,11,0,0.2177,0.059,0
V0047,12,7,0.2354,0.118,0
V0047,12,6,0.2366,0.122,0
V0047,12,5,0.1799,-0.067,0
V0047,12,4,0.2525,0.175,0
V0047,12,3,0.2162,0.054,0
V0047,12,2,0.164,-0.12,0
V0047,12,1,0.2177,0.059,0
V0047,12,0,0.13130000000000003,-0.229,0
V0047,18,7,0.2177,0.059,0
V0047,18,6,0.13130000000000003,-0.229,0
V0047,18,5,0.164,-0.12,0
V0047,18,4,0.1532,-0.156,0
V0047,18,3,0.09860000000000001,-0.338,0
V0047,18,2,0.07490000000000002,-0.417,0
V0047,18,1,0.07220000000000001,-0.426,0
V0047,18,0,0.0635,-0.455,0
V0047,19,7,0.13130000000000003,-0.229,0
V0047,19,6,0.164,-0.12,0
V0047,19,5,0.1532,-0.156,0
V0047,19,4,0.09860000000000001,-0.338,0
V0047,19,3,0.07490000000000002,-0.417,0
V0047,19,2,0.07220000000000001,-0.426,0
V0047,19,1,0.0635,-0.455,0
V0047,19,0,0.1433,-0.189,0
V0047,20,7,0.164,-0.12,0
V0047,20,6,0.1532,-0.156,0
V0047,20,5,0.09860000000000001,-0.338,0
V0047,20,4,0.07490000000000002,-0.417,0
V0047,20,3,0.07220000000000001,-0.426,0
V0047,20,2,0.0635,-0.455,0
V0047,20,1,0.1433,-0.189,0
V0047,20,0,0.04580000000000001,-0.514,0
V0047,21,7,0.1532,-0.156,0
V0047,21,6,0.09860000000000001,-0.338,0
